moved_keypoint_id,corner_id,role,turn_direction,turn_sign,center_index,x,y,center_x,center_y,center_yaw,lateral_sign,available_to_limit_m,safety_margin_m,move_dist_m
0,0,entrance_outside,left,1,106,-74.32386138527718,53.96762737484526,-74.23095364975688,53.243563736288195,-3.0139756679180785,-1,1.0800000000000005,0.35,0.7300000000000005
1,0,apex_inside,left,1,140,-75.02980262891917,52.279240674648136,-75.70902618548806,52.70191709959033,-2.1274470490143416,1,1.1000000000000005,0.3,0.8000000000000005
2,0,exit_outside,left,1,210,-74.85712036817807,49.30235203028424,-74.38236486371733,49.80305874182726,-0.758800426723682,-1,1.0400000000000005,0.35,0.6900000000000005
3,1,entrance_outside,left,1,1539,-37.814516206770136,-5.349467729213104,-37.24780984681987,-4.955838587009536,-0.9637097901544732,-1,1.0400000000000005,0.35,0.6900000000000005
4,1,apex_inside,left,1,1628,-34.562693118884674,-8.08197709838364,-34.94769126625975,-8.713939460014265,-0.5471644637618089,1,1.0400000000000005,0.3,0.7400000000000004
5,1,exit_outside,left,1,1697,-31.51597400654187,-9.257697632067426,-31.697454909007597,-8.59199147914391,0.2661467346107685,-1,1.0400000000000005,0.35,0.6900000000000005
6,2,entrance_outside,left,1,2810,21.163017044799112,6.173315551798017,20.797231217946972,6.781838952230652,0.5412308415577783,-1,1.0600000000000005,0.35,0.7100000000000005
7,2,apex_inside,left,1,2883,22.885752700781282,9.40494231829588,23.557700551922267,9.146318875145393,1.2033866132808084,1,1.0200000000000005,0.3,0.7200000000000004
8,2,exit_outside,left,1,2939,24.076094701868445,12.009678858188483,23.368566477420476,11.829946246763889,1.8195632796098822,-1,1.0800000000000005,0.35,0.7300000000000005
9,3,entrance_outside,left,1,3117,21.596618679788097,20.41787737213291,20.93001995456359,20.23970290839284,1.8319795849645941,-1,1.0400000000000005,0.35,0.6900000000000005
10,3,apex_inside,left,1,3245,17.046481862664965,24.410545673703183,17.31052077373225,25.123205096879783,2.7867747474286326,1,1.0600000000000005,0.3,0.7600000000000005
11,3,exit_outside,left,1,3295,14.846436084574638,26.25990812831082,14.845141260700224,25.449909163230533,3.139994104915879,-1,1.1600000000000006,0.35,0.8100000000000006
12,4,entrance_outside,right,-1,4247,-30.983213187593073,18.157310705325266,-31.586268452762884,18.5686795752595,-2.1694357273374143,1,1.0800000000000005,0.35,0.7300000000000005
13,4,apex_inside,right,-1,4433,-39.387748425478165,17.002997191608547,-39.76760848844989,16.32174369065672,2.63294095514121,-1,1.0800000000000005,0.3,0.7800000000000005
14,4,exit_outside,right,-1,4538,-43.70998281810674,19.9359523415116,-43.11380026737755,20.28332298823645,2.0983668943258533,1,1.0400000000000005,0.35,0.6900000000000005
15,5,entrance_outside,right,-1,4709,-47.8859383461677,27.32650217019144,-47.28211801042787,27.660419827926162,2.0759462392009302,1,1.0400000000000005,0.35,0.6900000000000005
16,5,apex_inside,right,-1,4917,-45.611531742498585,36.26208627099242,-46.0296612970447,36.9205448312793,0.5657670871318818,-1,1.0800000000000005,0.3,0.7800000000000005
17,5,exit_outside,right,-1,5061,-38.918222658727174,38.14003266622853,-39.06348567832853,37.44505161962633,-0.20605075672958514,1,1.0600000000000005,0.35,0.7100000000000005
18,6,entrance_outside,left,1,5614,-13.293744558819032,42.125608084217745,-13.86223734538074,42.55095024251775,0.928452887692619,-1,1.0600000000000005,0.35,0.7100000000000005
19,6,apex_inside,left,1,5719,-13.31586330963094,46.71789044083471,-12.860097909063928,47.195256023638905,2.379338428000011,1,0.9600000000000005,0.3,0.6600000000000006
20,6,exit_outside,left,1,5767,-14.996207543234009,48.57354545095779,-15.040352169175833,47.804811913247576,3.084230518189052,-1,1.1200000000000006,0.35,0.7700000000000006
